partition	schemas	models	foreignKeys	foreignKeysIndexed	foreignKeysUnindexed	unindexedPct	medianUnindexedPct	explicitIndexes	schemasWithNoExplicitIndex	noExplicitIndexPct	fksPerSchema
<1000	17	54	30	7	23	76.7	100	4	15	88.2	1.8
1000..2000	255	1018	696	203	493	70.8	100	206	187	73.3	2.7
2000..4000	269	1650	1429	545	884	61.9	71.4	684	135	50.2	5.3
4000..8000	509	5171	5403	2496	2907	53.8	58.3	3202	193	37.9	10.6
8000..16000	711	11587	13465	7519	5946	44.2	37.5	11128	145	20.4	18.9
16000..32000	565	15298	19730	12079	7651	38.8	29.6	19001	46	8.1	34.9
>32000	564	33416	47528	31543	15985	33.6	27.4	53683	10	1.8	84.3
