repo	status	prismaModels	ourModels	prismaFks	ourFks	disagreements	detail
Supporterino/FreezerTracker	missing-file						
yaseenismail2004-stack/tajlbari	missing-file						
glauterw-bit/nexacontabil	missing-file						
ivibruna/dofinanzas	missing-file						
rimz05/jeera	missing-file						
rimz05/jeerafinal	missing-file						
ludmilka-k/velvet	missing-file						
JonathanArroyaveGonzalez/prototipo-santuarios	missing-file						
virkvarjun/Backtracks	missing-file						
Ayman-99/CashCompass	missing-file						
SHREYOTHECODINGEXPERTO/STUDY-QUEST-AI	missing-file						
29Nancy/Skill-Exchange-Platform	missing-file						
nikunjcodes/skillswap	missing-file						
Voistrikov/booking	missing-file						
Iasonaskrpr/Auction-Website	missing-file						
sitaowang1998/CollabTex	missing-file						
FandresenaR/sifaka	missing-file						
developersajadur/Next-Event-Server-Side	missing-file						
GOMEZS25/floracore	missing-file						
EdsonAP1/NextAcademy	missing-file						
maceworknet/macework-stack	missing-file						
mcpauth/mcpauth	missing-file						
QzlabQ/XEgineer-SyncAsist	missing-file						
nihalgonsalves/expenses	missing-file						
mobin-zaman/solaric-monitoring-dashboard-backend	missing-file						
Antonio-Conrado/Sistema-de-Facturacion-Backend	missing-file						
Ansh-dhanani/nextjs-blog	missing-file						
AshCript/e-commerce-nextjs-nestjs-postgresql-docker	missing-file						
DibyanshuSah/clinqo-pediatric-vaccination-system	missing-file						
The-Terminal-Byte/PakVoyage	missing-file						
TaguaraVe/compara-mejor	missing-file						
seosunbear/BSSJ-HS	missing-file						
Tayasaki/projet-genesis	missing-file						
itsukakotori77/curiculum-vitae-BE	missing-file						
pacoguerraq/portfolio	missing-file						
elicharlese/TinTin	missing-file						
BrianGelvez/leureano-racing	missing-file						
Austinobravo/randomgooddeeds	missing-file						
Drishti-Rawat/ELARA---Timeless-Fragrances	missing-file						
MHassaanT/e-commerce_template	missing-file						
Ancamilo404/sistema-bodega-v2	missing-file						
luqmanmen/berkashukum	missing-file						
Zhongshan9810/agentbounty	missing-file						
G2CCC/GymBud-Fitness-Planner	missing-file						
nesdimuk/saidcoach	missing-file						
KembleApp/admin-dashboard	missing-file						
nadarajahluxshan812-bit/xeivoramed-backend	missing-file						
devyansh770-hue/shared-expenses-app	missing-file						
shahnawaz-hussaink/irctc-backend	missing-file						
ghost2468developer/Project-management-dashboard	missing-file						
Shadowspark-Tech-Team/shadowspark-chatbot	missing-file						
LeroySalih/comment-bank	missing-file						
smbrg079/holiday-booking-platfrom	missing-file						
KaisenSage/Torea	missing-file						
n3tr00x/tip-your-match	missing-file						
JoeFuentes-WebDev/MyNeighborhood	missing-file						
jonathanlee-io/echonexus	missing-file						
Arviixzuhs/Vitalcare	missing-file						
Amritray01/PolicyForge	missing-file						
charishma23bce9924-code/Ticket-Booking-System	missing-file						
rupesh0001-tech/cally	missing-file						
ganeshdadipelli/matrix_r-r_timesheet_offline	missing-file						
evilhere7/GramMate	missing-file						
Anurudrr/fundsroom-erp-crm	missing-file						
phapsucongu/white-board	missing-file						
baptistamichuki-ui/safe-haven-marketplace	missing-file						
Rounak404/erp-main	missing-file						
1da1ana1/WebApp-TCC	missing-file						
ggascoigne/festive-beverage	missing-file						
kruxshnx/OpenPath	missing-file						
robu9/OutPitch	missing-file						
IST-4P/journey-server	missing-file						
s12345dede/TFG	missing-file						
Manas2k3/ephexa	missing-file						
nhnguyen253/auto-apply	missing-file						
dipuoctaunitech/ecom	missing-file						
Swiftminale/todo-tracking-app	missing-file						
project-emory/Odyssey	missing-file						
kkwjk2718/gshsapp	missing-file						
roman-ryzenadvanced/career-arsenal	missing-file						
mobowp/family-finance	missing-file						
trtlbby/litlens	missing-file						
ParthGupta1304/CLARIX	missing-file						
phoenixdev100/Qrivo	missing-file						
joshmurphydesign/joshmurphydesign	missing-file						
FasterRGo/faster-api	missing-file						
Oumaima-afk/GreenRoots-back	missing-file						
blackjackkent/rpthreadtracker-v4	missing-file						
Hikmahx/content-writer-website	missing-file						
abitechcoder/creative-edinburgh	missing-file						
NOKIEQU/proxmox-backend	missing-file						
Abhi9shinde/TNP_PORTAL_BACKEND	missing-file						
andre-zhang/clasher	missing-file						
Ykolo/Gnanam	missing-file						
saron-hailemeskel/KnowledgeHub-Question-Answer-Platform	missing-file						
Kimilujoseph/jadi_craft_ai_app	missing-file						
ecm-digital/NewDomiz	missing-file						
rcvs1981/bharatmart-next	missing-file						
Elisbrown/Devoby-app	missing-file						
BeyondJS08/TMSRendon	missing-file						
brainiacerudite/my_order_fellow	missing-file						
soumikpathak12/Curriculum-Mastery	missing-file						
ArtemFilin1990/aaaaaaaaaaaaaaaaaaaaaaa	missing-file						
Wizard-DLC/pureauraclinic-backend	missing-file						
Gifran19/CrytalWash	missing-file						
CHIRAG-DAMANI-08/Luma	missing-file						
JoArDiTo/genes-api-rest	missing-file						
AmrHamoudaX/irtaqi	missing-file						
umangworkAIML/physiojoy	missing-file						
eggarcia98/food-order-system	missing-file						
juener/deprecated-vallete-saas	missing-file						
kaizencycle/mobius-browser-shell	missing-file						
hatemchebbi527-dev/no_code-Projects	missing-file						
wooa1yu-n789cti1/oes	missing-file						
adarshsinghh13/fundsroom-erp-crm	missing-file						
liyan-ahamed/secureDoc	missing-file						
adithyack29/globeTrotter-Odoo-LDCE	missing-file						
Disha-singla/spotify_clone	missing-file						
pranavshende/PashuRakshak	missing-file						
Praneelved/Land-acquisation	missing-file						
budityw23/data-driven-car-rental	missing-file						
VIswendrachoudary/ticketbooking	missing-file						
Mathieu-robinn/3TC-WEB-Project	missing-file						
yash306535/swachchdrishti	missing-file						
tomix421q/SCRAP_APP	missing-file						
tarekfff/recipe-website	missing-file						
miguelangelo78/world-tester	missing-file						
soumyachk101/phygital-trace-	missing-file						
Bytebrigade-AttendX/attendance-backend	missing-file						
RyanP4ul/Apartment-Management	missing-file						
Naufal-Eurasia/RANDUMART-WEBSITE	missing-file						
Pritam-25/distributed_railway_booking_platform	missing-file						
MohammedGhara/CarVision	missing-file						
Luakkk/senimdi_qadam	missing-file						
grsanudeep42-cmd/sih	missing-file						
johnlen7/planilha-ia	missing-file						
alramady/rased-platform-brain-20260310-1	missing-file						
alramady/alruhaily_ndmo	missing-file						
NDMOPRO/alramady	missing-file						
VinceCarter12/Inventory-V2	missing-file						
mahek-lineswala/LeakLens	missing-file						
Sarowar786/ecommerce	missing-file						
HeyReyHR/BotanHub	missing-file						
ndom91/briefkasten	missing-file						
Aierlanta/Cloudinary-photo	missing-file						
Andrewrover-01/InkFlow-Forum	missing-file						
tumusumu/ccycle	missing-file						
ntuan2502/next-activedirectory-base	missing-file						
franklyn-narvaez/worku	missing-file						
mayurCoder2004/DevLens	missing-file						
snh1999/bug2progress	missing-file						
Slum1ord/adflo-traffic-marketplace	missing-file						
Cyllia/-picura	missing-file						
VRLingoNancy/backend	missing-file						
CodesofAkash/apple-phone	missing-file						
kingbeeper/skypay	missing-file						
Erasmo-Veloso/aocume	missing-file						
aciuro/inversiones	missing-file						
Renkaslana/Vibrakas	missing-file						
MrBonedud/Keepsey-Backend	missing-file						
Vivinvai/Vrisa	missing-file						
jeremyjfleming/quorumcampus	missing-file						
Moontags/laskutus	missing-file						
AtharvChanana/bondiq	missing-file						
Nourivex/medicare_bridge_backend	missing-file						
miguelazaro/evenrent	missing-file						
shreyanshz04b/Thinkzaar_hack	missing-file						
Ak-2631/fitness_tracker	missing-file						
Hans3010/Camba_Clothes	missing-file						
bhatiatanish225/SanitaryShop-Backend	missing-file						
MollyLaMolla/game-hub	missing-file						
ShreyashPoddar/AuraHR	missing-file						
Ansh7fe/swiggy-assesment	missing-file						
seif090/Multi-Sport-Market	missing-file						
jjhanx/mrds	missing-file						
rachokthebot-dev/music-apps	missing-file						
eggarcia98/food-order-operations	missing-file						
gabeodame/food-app	missing-file						
Aditya060806/Verivox	missing-file						
marzun9620/goalFlow-agent	missing-file						
TIAVINA-227/grh-carso	missing-file						
yuricpaiva/resolve-radio	missing-file						
vrushabd/gitrepo-health-tracker	missing-file						
Harinithin-ops/qr_order_table	missing-file						
jbiliic/Second-Life	missing-file						
kt-codeverse/codeverse	missing-file						
chkooo/SportsAppCalendar	missing-file						
thanhhien1732/cyber_community	missing-file						
CodeDhruv06/go-clips	missing-file						
kohanasingh/SeatSure	missing-file						
CodeByPinar/atlascrm	missing-file						
AishwaryaS9/Furnitureables	missing-file						
kamron-ibrohimov/Amaly-backend	missing-file						
dixonsimon/CodexForge	missing-file						
notnohowtospell/tuvisanco	missing-file						
ArchieTansaria/pulse	missing-file						
medina1120/sistema-de-gestion-de-alquiler-de-vehiculos	missing-file						
mainuddinMains/PikiMed	missing-file						
palaseus/konstantine	missing-file						
macamisp/Ems-System	missing-file						
kafaat/sahool-unified-v15-idp	missing-file						
megurpartap/support-platform	missing-file						
Iarafarias/SisTCC	missing-file						
hoanggiakz/coffe-shop	missing-file						
NirMAN-15/supermarket-click-collect	missing-file						
smartysiya/ApplyFlow	missing-file						
Embretr/biopay	missing-file						
sili2017/app-stranger	missing-file						
MonlamAI/monlamai-API	missing-file						
PaulAdutwum/tarriff_warfront	missing-file						
Arnav-Bhardwaj1/CogniFlow	missing-file						
lucky72o/cycle-path	missing-file						
biennguyencong25032007-hub/Wild-Rescue	missing-file						
MACM18/resume	missing-file						
PavelkaVojtech/pekarstvibanov	missing-file						
saidmaadan/inventivelabs_	missing-file						
patrickcsouzadev/todo-app	missing-file						
ShashwatPS/Sage	missing-file						
Kano7173/Industrial-connect	missing-file						
raffayuda/kita-bayar	missing-file						
RossAlex0/zombie-land	missing-file						
yashwanth29-web/saree_e_commercie-	missing-file						
NINJA981/Solace-Diaries	missing-file						
SilasPaquet/Site-Homecheck	missing-file						
speakupai28-stack/Speak-UP-AI-Project-	missing-file						
jhon-breno/organiza-racha	missing-file						
AyushDongarwar/De-ERP	missing-file						
priyanshudash589/self-practise-dashboard	missing-file						
TwentyEight-Bean/BeanStudios	missing-file						
ys112/WellRoasted	missing-file						
zelphyx/BEMFSM_KABINETBARAMOMENTUM-BE	missing-file						
EdgarBLR/assis-ia-backend	missing-file						
Qasimnawazkhan/violation-notifier	missing-file						
ChaseLGrant/Jucoportal-	missing-file						
mmeguizo/rbap_idm	missing-file						
Astronomox/hrflow	missing-file						
IvanGoranov02/sg-calculator	missing-file						
FajlaRabby24/medistore-server	missing-file						
muhammadRamzan4669/ecommerce-nextjs16	missing-file						
Abdul-Razak-LAB/fleetmanagement	missing-file						
Tritounet1/tritou-notes	missing-file						
Bin291/Storage	missing-file						
DiegoMarzioni/testadminback	missing-file						
yusufadeagbo/Forge	missing-file						
shishirastogi/ergon2	missing-file						
penpengrass/DiagramEdit	missing-file						
vatal-system/Decentralized-Freelance-Payment-Platform	missing-file						
axmadaliyeeev/trovatour	missing-file						
ng-quys/credit-package-system	missing-file						
FelipeSakai/sistema-vendas-planeta-agua	missing-file						
MeiYing2004/Event-Management-System	missing-file						
Dev-orko/ollyo	missing-file						
Hosi121/Bansho	missing-file						
YourPalZack/aqua-builder-codex	missing-file						
MSVaibhav4141/ContestArena	missing-file						
Ayoub7712/saasv2	missing-file						
SiegfriedK04/DS9---Temporal	missing-file						
undefined-dev74/auth_v5	missing-file						
shivam-9090/CRM-VISION	missing-file						
Abdulazizshaban22/Access-HR	missing-file						
SHAIKH-AZAZ/poc-waste-proper	missing-file						
ShallowAwe/Expense_Tracker_Backend	missing-file						
SieghartSaladdin/fafnir-elearn	missing-file						
laziestlarry/autonomax-agency-ops	missing-file						
sagarmagar977/portfolio	missing-file						
antoniomto/trazabilidad	missing-file						
emad-ansari/code.io	missing-file						
Oumyf/adiaraacademy	missing-file						
savytskyiTech/bloknotik-full-project	missing-file						
ThuThao2724/Coffee-Shop	missing-file						
AmrendraCodes/AmrendraBlog	missing-file						
polats/radio	missing-file						
HJIRT-MA/JIRA_project	missing-file						
AfonsoSantos44/CRM-Mechanic	missing-file						
heidian/open-pingxx-payment	missing-file						
extraPants/freedom-party	missing-file						
zaryabdev/ecommerce-admin-cwa	missing-file						
duythong28/fastfood-be	missing-file						
realbrodiwhite/Portfoolio	missing-file						
cthrower/lodgr-app	missing-file						
juanscr24/tasklancer	missing-file						
Cyber-bober/Fullstack-website	missing-file						
rayenrsalhi9/velkor	missing-file						
ottoengel/kalyl	missing-file						
Nexite/alphavantage-forwarder	missing-file						
Meysarosh/livelicitapp	missing-file						
avelzo/cdn.userv.info	missing-file						
tgxzd/study-buddy-v2	missing-file						
alexsantos-djesus/Instituto-Beth-Leite	missing-file						
vibhanshuverma02/Billing-Software	missing-file						
Andres10M/Tesis-Back	missing-file						
Albertoflj/athlete-flow	missing-file						
Haitham-Nageh/webhook-pipeline	missing-file						
themyrtrix/shoppe	missing-file						
MeyCodr/asset-management	missing-file						
Vaintseishii/SimpleBooks	missing-file						
sahilk1234/video-streaming-app	missing-file						
shivam4567/majour-project	missing-file						
thatanjan/antisocial	missing-file						
bonobozzzz/freq	missing-file						
donghao-wu/CastStorage	missing-file						
AbeloByte/yene-bakery	missing-file						
shakthiprasad243/kada-main	missing-file						
apsays07/NEXO	missing-file						
Manju10092006/CampusPlacementOfficer	missing-file						
tamili2i/DeveloperAnalyticsDashboard	missing-file						
IshantRajput966/ClubHub	missing-file						
Kedar-29/tech-ads	missing-file						
kimberlybeharry/rallypoint-pickleball-hub	missing-file						
gag-26/0civic	missing-file						
Kalathee/luxe-ecommerce	missing-file						
zWilliam13/servicios-web	missing-file						
harshith-murali/repo-analyser	missing-file						
boparaiamrit/superboard.in	missing-file						
DiegoMarzioni/TestAdmin	missing-file						
Dave-n-tech/LasuLearn	missing-file						
ayeshahmad1/patient-management-system	missing-file						
Mirzohiddev006/currency	missing-file						
wndgur2/chatty	missing-file						
masudranam/travel-explore	missing-file						
junaidkhan-sjk/Dhatu	missing-file						
DinanathDash/Counterfoil	missing-file						
sdasgarali/bandarbani-jama-masjid-azan	missing-file						
son1cleo/databrief	missing-file						
Nishanth262/BookMyPG-Nishanth	missing-file						
architectattarassi-droid/citurb	missing-file						
jaemil/yomelo	missing-file						
Pranav140/UMS	missing-file						
Banilson2019/bootCampTreinos	missing-file						
Irene-pedos/RIFI-Entertainment	missing-file						
NguyenMinhNhat843/TruongTranDaiNghia_BE	missing-file						
qjetshk/bodo	missing-file						
naycaaido/trackora-be	missing-file						
Hans-Tirta/SiLaporRT	missing-file						
lunasaraproject-tech/lunasara	missing-file						
henryjheng-dev/taskwatch	missing-file						
naynie41/Cashly	missing-file						
FlintSH/Flare	missing-file						
nsudhanva/hearsay	missing-file						
CUSW-chula/cusw-backend	missing-file						
Ariyan-Jadhav/went	missing-file						
ayadseghairi/university-research-laboratory	missing-file						
devIykee/nairastock	missing-file						
ayorcodes/SenDT	missing-file						
ChoqueCastroLD/sotf-mods-api	missing-file						
Nhrepon/School_Management_System_NextJS	missing-file						
abdulla-sayed/E_commerce_SAAS_admin	missing-file						
DevItaliya22/incent-net	missing-file						
pyae-bhone-khant/furnicture-api	missing-file						
Manishankar-Katuri/careconnect	missing-file						
lucasbrumm/patamatch-back	missing-file						
pheromonetechnologies/MITFGC	missing-file						
26Naitik/Revyn	missing-file						
column-row/teke-teke-gas	missing-file						
ashiful2002/Food_hub_server	missing-file						
JWJeffery/Scriptorium	missing-file						
ASZagam/Brighter-Future-Foundation	missing-file						
Yosores04/UniServe	missing-file						
pavan-reddy-kudumula/marketplace	missing-file						
Stella112/Certus	missing-file						
Mohanssk/placeprep.api	missing-file						
aziza20-ux/Inzozi-Market-api	missing-file						
hyperion912/AutomataMesh	missing-file						
diwarunna/minisoccer	missing-file						
beingdev01/Tesseract_backend	missing-file						
tuyuf/umkmpedurungan	missing-file						
DeBoots-Nkuna/trainer-connect-backend-project	missing-file						
Marcla30/Selfolio	missing-file						
Emin14/skill-flow-from-antigravity	missing-file						
Kartalops/tg-donate-bot	missing-file						
Haru65/sanc-calibration_backend	missing-file						
Kirushanth-G/EcoWatt-cloud	missing-file						
ayush931/Aetheria	missing-file						
AlanValerdi/gestor-calificaciones-mw	missing-file						
0xneox/Racana	missing-file						
JessFreak/h.linker	missing-file						
noneedofthat/Odoo	missing-file						
morganelepine/mon-calendrier-de-l-avent	missing-file						
flaypy/telegram_secrets	missing-file						
khy1121/LookMate	missing-file						
DivijJ16/Project-Management-App	missing-file						
Gangadhar017/starbucks-kubernetes	missing-file						
harshkolte01/gearguard-odoo	missing-file						
gopinathsjsu/cmpe202-4849-spring2026-Stumble-Guys	missing-file						
DidjeMatMatho/SupContent	missing-file						
Nishant-0203/scaler.ai-assignment	missing-file						
SKB-TECH/infinity-site	missing-file						
GabrielRezendeCoelho/TCC_1	missing-file						
Vishnuj-n/walletOS	missing-file						
brian-sama/scansuite	missing-file						
LAVA-dsm/LAVA-mono	missing-file						
PandaScrs/TourInmobiliario	missing-file						
mrayhankhan/Project-Axiom	missing-file						
RJCodeIT/My_Parish	missing-file						
notrahulkapoor/personaforge	missing-file						
notofearth1-jpg/AI-tutor	missing-file						
glevi2004/facet	missing-file						
urvashibala/MapBasedIssueTracker	missing-file						
Valentinakoch/Gestion-Tributaria	missing-file						
good-food-maalsi/franchise-service	missing-file						
axcvbnm285/ramri	missing-file						
asawaricode/WorkNexus	missing-file						
DimasASN/parkus-webapp	missing-file						
dtkien28/shintardy	missing-file						
jsan2321/co-work-flow	missing-file						
mcoen/openclaw-workspace	missing-file						
Jerrymusaaa/yoyzie-ai	missing-file						
Sudeep2702/DUM-DUM-SPORTS-CAR	missing-file						
ArthurFranco01/Pentacode	missing-file						
KaivDev4434/FairShare	missing-file						
Edqe14/gemini-leobot	missing-file						
thecarlover/Referbridge	missing-file						
mighty840/swarmhaul	missing-file						
AtsushiHosaka/member-dash	missing-file						
lucasantoniodev/task-planning-back-end	missing-file						
MateusFranca/amazon-max-back	missing-file						
NieWong/ecn-api	missing-file						
Daniil-95/balance-hair-salon	missing-file						
satyapradip/Dailydose-paused	missing-file						
Devansh-Singh-Parmar/gta-singapore	missing-file						
marcopollara-vitanuova/recesso-digitale	missing-file						
keithah/trackback	missing-file						
autofestgrandtour-creator/Baba-K	missing-file						
vansh-khaneja/PromptOps-Backend	missing-file						
vansh-khaneja/stacklyn-backend	missing-file						
shuanz/cadastrodopedro	missing-file						
Eyob-smax/attendance_system	missing-file						
Bharath-hax/Smart-split-AI	missing-file						
BytesPlatform-ops/salesAI	missing-file						
mahugnon/avosearch	missing-file						
fouzansayit-dev/SEABIRD-Immigration	missing-file						
greytender/globalink-ai	missing-file						
newath2024/Hanlingo	missing-file						
icgo90co/ocmanager2	missing-file						
nivedha14-git/eventflow-hub	missing-file						
kazitbyte/Capstone_abbrv	missing-file						
bhop2308-cyber/https-github.com-bhop2308-cyber-claude-claude-session-copwg2	missing-file						
dakshpadaye13/GEOCAD	missing-file						
semilogopaul/file-app	missing-file						
ordaintowin/brainec-salam	missing-file						
vel-droid/tattopro-web	missing-file						
AnhhTuann/GenshinHub	missing-file						
Aayush3238/CodeLens	missing-file						
Don-Cornelius-B/Smart_Rental_Tracking_System_SDD	missing-file						
darshpandya02/vate	missing-file						
Vahe20/Ghazaryan-Software	missing-file						
Smcclean4/Yap	missing-file						
gabrielvscodigos/tikket	missing-file						
Naresh1401/resumecraft	missing-file						
Satwik290/FinTrack	missing-file						
farmer-boy/Rentra	missing-file						
nain3094/society_maintenance_nain	missing-file						
Jg-365/smart-drive	missing-file						
demiantav/familyhub-backend	missing-file						
wandinnn/ThafhanHospital	missing-file						
InventorySystemyMultiTenancy/ExemploHamburgueriaBackend	missing-file						
IFafaa/fable	missing-file						
Divy2095/ProPass	missing-file						
felipepetuco/luminus-web-app	missing-file						
AdhamMagdyA/hemex-curriculum	missing-file						
akil-23/SkillSwipe	missing-file						
Hotmobile-Atendchat/form-chamados-hotmobile	missing-file						
deepak-sekarbabu-coder/chinni-treasure	missing-file						
ehtisamhaq/Hero_Union_Quiz_App	missing-file						
SONWA560/K2025_Mobile_Carwash	missing-file						
growchief/growchief	missing-file						
openshiporg/openship	missing-file						
oiov/wr.do	missing-file						
oss-apps/split-pro	missing-file						
libscie/ResearchEquals.com	missing-file						
kabegame/kabegame	missing-file						
ungdev/UA-api	missing-file						
openshiporg/docs	missing-file						
vishnukothakapu/linkid	missing-file						
RajatSharma404/DSA-Tracker	missing-file						
flolefebvre/claude-convo-analyzer	missing-file						
IamTpG/gobidder	missing-file						
Reevit-Platform/docs-v2	missing-file						
ParksDivision/hoppy-hour-backend	missing-file						
roshansingh76/guestpg-be	missing-file						
theabhishekar/TW-ERP	missing-file						
24kaarunya/Adaptive-Wellness-AI	missing-file						
adamafzainizam/campus-marketplace	missing-file						
ahmedwdsalah/intsa-dm-automation	missing-file						
kharabiner/blockbooster	missing-file						
Nur562-svg/Nur-landing	missing-file						
noam1avizmil/AiProfessor	missing-file						
n4bi10p/stellar-ai-network	missing-file						
miguelpradomusinvideo-jpg/whas	missing-file						
garvitsingh171/pravaah	missing-file						
WingRiders/multi-dex-launchpad	missing-file						
Coder-God2901/TriVeda	missing-file						
iisce/iscedemy	missing-file						
Selim-usenmez/PPE_project	missing-file						
gauravtiwarrii/splitsmart	missing-file						
Renaldis/DanaRutin	missing-file						
abhinavs4work-a11y/internal-ats	missing-file						
Adarsh-Dhar/magical-headlines	missing-file						
braintrain-sandbox/quiz-app	missing-file						
iqbaldz12/Otakademi	missing-file						
css-intel/vibin-with-coach-angel	missing-file						
mianfaizan6506-hash/heaven-earth	missing-file						
muhamadsofyanar/membership	missing-file						
abdoskills/MARKET_SYSTEM	missing-file						
ahmaddeeb82/medleger_task	missing-file						
SeanZon/jd_find	missing-file						
adrian-herscu/flight-club	missing-file						
achyuthrachur/model-intake-risk-tiering	missing-file						
piyush-1603/recoverai	missing-file						
kikosmalakas2-dev/booking	missing-file						
privlin-lgtm/ai-pr-reviewer	missing-file						
pkjha62/wellington-hotel	missing-file						
DK-Enterprise-ltd/sultan-mauritius	missing-file						
Mrintania/garage-management-system	missing-file						
PratikPisal4304/campus-loop	missing-file						
frame-and-code/rondo-money	missing-file						
Jiipi/QL_DH_RenLuyen	missing-file						
Debsmit16/MedFlow	missing-file						
kevinjimenez/backend-paradeisos-ferrires	missing-file						
JordanHtg/StreamHUB	missing-file						
qvinh8726/ClawNexus	missing-file						
pollak-vizsgaremek/ChallengeHub	missing-file						
Pedrolamon/hairday	missing-file						
learnthusalearner/AI-Interview	missing-file						
Suhan891/EchoNet	missing-file						
Enthusiast-AD/SkillSwap	missing-file						
danisalgue93/LynxProject	missing-file						
uttamongithb/expense-management-freelacer	missing-file						
BeastxD7/leanscan	missing-file						
higirobruce/aux	missing-file						
Nandini-Sarala/SmartAttend	missing-file						
muhammadadil8095/AutoMark-Admin	missing-file						
Ttuandatt/IELTS_Instructor	missing-file						
berkormanli/culturespark-reservation-system	missing-file						
UTSKER/CapitalUp	missing-file						
Bobert87/adrushmedia	missing-file						
mindway-code/mindway-api	missing-file						
martinezmatiasat/cotizador-gfb-api	missing-file						
erablebleu/nextaccounting	missing-file						
J2H3233/secondhandMarket	missing-file						
mohammadali-eth/VendorBridge_Backend	missing-file						
MarcosldcC/scorer-sistem	missing-file						
alalomagd1-wq/mabrouk-BackEnd	missing-file						
trinhxuangiang16/e-learning-platform-be	missing-file						
sujansaitej/Nunukkam-Admission-backend	missing-file						
m0gsy/hydromart-digital	missing-file						
hamzabenmarwen/smart-catering-platform	missing-file						
MuneebRbutt/Computer-Gaming-Accessories	missing-file						
PrabathSamarasinghe/GalathuraEstate	missing-file						
WarrenJosephPope/gym-saas	missing-file						
trananhtrung020504/Pro-Social-Infrastructure	missing-file						
BOVAGE/cpe508-german-exam-system	missing-file						
naveenraj-g/bezs-latest	missing-file						
Pranjal-1307/Odoo-2026	missing-file						
eimg/daily-buddies	missing-file						
intelli-gp/backend	missing-file						
RealHartlMax/Open-Movie-planer	missing-file						
Diogo-Damasceno/barflow	missing-file						
res0lution/ecommerce-nestjs	missing-file						
ahmadchoms/itechnocup-2026	missing-file						
nionaim/Client-Hunting-Software	missing-file						
Michae2xl/community-shielded-voting	missing-file						
mdsreq-fga-unb/REQ-2025.2-T02-TechStock	missing-file						
iterateno/umami	missing-file						
camppus/culonga	missing-file						
iamnguyenvu/donghua3d-monorepo	missing-file						
malcommathela/Resonance	missing-file						
CaioHVectorA/whatseasy-2.0	missing-file						
iliksis/tthub	missing-file						
lokeshvelayudham/cryoVizWeb	missing-file						
MeriemHanafi/Diploma-Authenticity-Verification	missing-file						
alvaropsouza/keep-a-budget	missing-file						
TinkerTanked/tinkertank-market	missing-file						
boranfurkan/smart-salons-be	missing-file						
Mahathi-Juloori/project-18	missing-file						
bexu/autocompleteapp	missing-file						
Awaria1337/NorvisAI	missing-file						
komalpreetkaur05/SafeSpaceApp	missing-file						
RhailynJane/SafeSpaceApp_Web	missing-file						
Uzzichil1/fareedah	missing-file						
cyberperfo/defenceagent1.0	missing-file						
ChMubasharAli/part-time-work	missing-file						
Webyseo/refundhold	missing-file						
lingulin69-debug/Project_Turbid_Dust	missing-file						
liubin18911671739/MrPi-Intelligence-Hub	missing-file						
ajaykumarbandela/PaymentPortal	missing-file						
xeant/plextype	missing-file						
jungmini0601/hhplus-e-commerce	missing-file						
uixreza/lingo	missing-file						
DoudGaya/feshmint	missing-file						
Hugo3400/hookies	missing-file						
ariancerna/church-events	missing-file						
TeckVeho/paag	missing-file						
Khoahuynh2511/SE346_Travel_App_BE	missing-file						
socr4tesjohnson/nextup	missing-file						
Mukxxhh/ApplyOs	missing-file						
bonsoisystems-cloud/Vivazen	missing-file						
timme99/craftmen-plattform	missing-file						
kzkmichal/WorkSpaceCraft	missing-file						
Vectra-Labs/SociaLink_Case_study_UI	missing-file						
DarClsr/image_word	missing-file						
varshith145/ARNO	missing-file						
SUSSSKIDD/new-ecomm-client-server	missing-file						
irusse/8024	missing-file						
KenHoH/Finance	missing-file						
PDebevec/nbcg	missing-file						
surajalone3/loyaltypulse	missing-file						
STEPHANOstudents/servitex-v5	missing-file						
DevanshSingh9090/ncrtc	missing-file						
mohamedfouda1810/mashaweer	missing-file						
abhishek1savaliya/STTHandler	missing-file						
Sahil964-star/DGIIR	missing-file						
rd8r8bkd9m-tech/smeta-generator	missing-file						
lathanh1108/camuri-dashboard-v2	missing-file						
thang-huynhduc/eSpecialty-Ts-PostgreSQL	missing-file						
juinmanin/snapledger	missing-file						
YatinDora81/Portfolio	missing-file						
matrix8412/nms	missing-file						
Savicxz/RemitChain-Final	missing-file						
kumudgoyal/DisasterTraining	missing-file						
arknights8037/mywebtoolbox	missing-file						
highcrash/neawaslic	missing-file						
AgnivaSardar/VIT-Verse-Backend	missing-file						
DerivedFunction01/sentinel	missing-file						
Amukara/AppWebizzle	missing-file						
sraveshnandan/hostlio_core_backend	missing-file						
vollwebch/eitaxi2	missing-file						
hellogaganchaudhary/auxifywpservice	missing-file						
Pintunayak883/Shift-backend	missing-file						
AkshayMN06/MajorProject	missing-file						
gxatechnology/vikas-sundriyal	missing-file						
fayastm03/turf-booking-app	missing-file						
Sqwizoor/rstudent24	missing-file						
randamopobela/mini-project-jcwdah22	missing-file						
hbela/booking-for-all	missing-file						
rmkasendwa/sliding-tiles	missing-file						
natuki53/Walleca	missing-file						
Konseptt/lab-escape	missing-file						
dqez/ai-doctor-voice-be	missing-file						
FTHTrading/wholesale-lighting	missing-file						
palhinhax/marido	missing-file						
Rotoslider/Choom	missing-file						
BatlloseraDev/Fundacion_Fuente_Agria	missing-file						
deVThish/Auto-Ledger-Backup	missing-file						
stagsz/MyAiCompany	missing-file						
shafeehhecker/HaulSync	missing-file						
iamshivam0/hostel_backend	missing-file						
Toneejake/berong-safescape	missing-file						
PCSdevs/Pay-to-power-back	missing-file						
