repo	sha	reason	duplicateOf
RhailynJane/SafeSpaceApp_Web	a6ff0e8fcc81b90eb54f70528002c5531203b2cf	prisma-rejected	
Mukxxhh/ApplyOs	be6b88aaa5c9619d11429fd2a40e4b459d3c3990	prisma-rejected	
lucifer-kj/haircrew-app	1cfd87a3702b65f27e8cef50bc659c6d29b858f0	identical-sha	crocknestclub-svg/Crocknestclub
Sujal12345-pheoniix/Gupta_Mobile_centre	83e8bc42dbdd9d74c499664e6d24301af25e7626	prisma-rejected	
hatause/hakaton	586be14e6dbed376745b014301af0152f990ec2f	identical-sha	hatause/team-ENERGO
hatause/AiTutor	586be14e6dbed376745b014301af0152f990ec2f	identical-sha	hatause/team-ENERGO
umeriqbal633/Route_Ready_Web_App_for-_Easy_Travel_in_Pakistan	2df0c1fed0a53ea9fec0071a4634a9c8db61d0df	identical-sha	umeriqbal633/route-ready-web-app-for-easy-travel-in-pakistan
stagsz/Selfassesment-app	8d976df6611e1a15e2ca962a8549897138c66ac0	identical-sha	stagsz/MyAiCompany
ejajmahmud/sys-typescript-auto-ledger	14143f81f6a75ef4985748702163f11d131f4054	identical-sha	deVThish/Auto-Ledger-Backup
vthish/Auto-Ledger	14143f81f6a75ef4985748702163f11d131f4054	identical-sha	deVThish/Auto-Ledger-Backup
stevesdiary/railflow	f2cf0a4eee1ee8d221c28573fcd63eb1c90fe428	prisma-rejected	
abdulrahman-sde/Dealport-Ecommerce-Admin-Dashboard-	f126ffe3f7dfe36702ed3fdbbaa75ba4046fd874	identical-sha	abdulrahman-sde/admin-dashboard
srujandivakar/DCode	cf287c0fb0f4577ef879bec2bef44325ac67e665	identical-sha	srvjha/codewarriors
saksham23467/vs-bansal-website	9e7f9146f1ccad9ef8bf7c38fcc03eceeaaf650a	identical-sha	saksham23467/vs-bansal-websitee
dndiaye66/echowork	9fe7434fefc6e199ed2f10c17007dcc4b96935c4	identical-sha	dndiaye66/echowork1.0
kynexstudio/renmat-test-new	be8c6d80bb82432fd8b020832e75f8d779a428bd	prisma-rejected	
PaxinNobis/PW-Backend	c0620950fc1b120ecbfcc0abb6b6ab20cb417500	identical-sha	Cebasbh/Backend_AstroTV
OrganizeOS-HQ/websites-builder	be8c6d80bb82432fd8b020832e75f8d779a428bd	prisma-rejected	
Osamafrahat/farmatia	4808ab11c9b4667b8872556baaa8cd59403b9770	prisma-rejected	
Osamafrahat/car-rental	4808ab11c9b4667b8872556baaa8cd59403b9770	prisma-rejected	
Muddasir-Haider-Khan/ms.solutions	46aca69e8c6f879fa059777cb040a4abd248ea75	prisma-rejected	
waicharikim/UJAMAA_DAO	8d9c55ce77b666caeed8278ca2dbb31f3b8da016	prisma-rejected	
dnsxmrs/sjsfi-sis-registrar	25ec384b3c435aba692a69c3be95ff5e571e91b5	identical-sha	dnsxmrs/sjsfi-sis-student
Nithish-P90/mv-software	428d91b6980f0f193c4e2f3f7dbd5f1f2de377d8	identical-sha	Nithish-P90/liquor-management
4ankitgupta/super-admin-backend	71b3290013d48ea592320ac5e986cc0bb57f2f41	identical-sha	4ankitgupta/restaurant-pos-backend
Tsiarofy/Eschool_back	a008f1dc85f369b1a248103772bac5423ce07831	prisma-rejected	
mohamedmodizo/Budget-bite-kenya	57d4dac04da3ce65eb3b2886d4917bb2a3452233	prisma-rejected	
nikesh01-free/parasmedicineapp-b2b-	b88b609749c0d6131be7efc7660ade083f457b8b	prisma-rejected	
eliezerphilippe0-spec/union-digitale	5af5b5300d5113b98fc30db995125f6b9165a2ca	prisma-rejected	
jitenkr2030/cannaos	30b145b866e27f079c9867ebc0776056f92e81c1	prisma-rejected	
Akanimoh12/Stellar-Tipz	3af9186e202964513f6f9335fd9a6beeb02f5f87	prisma-rejected	
qazxswedc7144-boop/Pharmaflow-350	b7a3ef280eadc348ce93112b392520f7aa843161	identical-sha	qazxswedc7144-boop/pharmaflow
Jejenzmi/jateng-cashconnect	2b5ae86853e965423d093f54978476b902b84df7	prisma-rejected	
Jejenzmi/simrszen	2b5ae86853e965423d093f54978476b902b84df7	prisma-rejected	
Kvarell/ttrpg-platform	a3274fbe373744fcc15aa5e5f7146f6d4536c6f1	identical-sha	AnatoliiYarmolenko/ttrpg-platform
CaptainPhantasy/PSI09182026	f8728ebd755cb4cb806baf0dfabfd39a2942ada6	identical-sha	CaptainPhantasy/precision-sewer-inspection
Shreesh-Sree/codepro-workflow	2a023d8051b659b1871207ea35d54aaf777dd50e	identical-sha	Shreesh-Sree/codepro
FransMalifra/1	f6c67dfc0ac78cbacd67654e432dde25956fedc6	prisma-rejected	
ConanZHZH/cal_dot_com__cal.com__cubic-v2__PR10967__20260313	ec45c33d0c9e1e905f1cc47177a65f10aaa75bb4	pr-snapshot	
Bohiques-BPS/Pazzi	c09eb480e13b5e0f29fbac673415c79b3f6770a3	prisma-rejected	
joaovitordossantosferreirafran-ux/delta	f6c67dfc0ac78cbacd67654e432dde25956fedc6	prisma-rejected	
code-review-benchmark/cal_dot_com__cal.com__copilot-v2__PR10967__20260624	ec45c33d0c9e1e905f1cc47177a65f10aaa75bb4	pr-snapshot	
tmp-offline-benchmark-test/cal_dot_com__cal.com__copilot-current__PR10967__20260331	ec45c33d0c9e1e905f1cc47177a65f10aaa75bb4	pr-snapshot	
LX-CodeReview/cal_dot_com__cal.com__codehawk__PR10967__20260407	ec45c33d0c9e1e905f1cc47177a65f10aaa75bb4	pr-snapshot	
code-review-benchmark/cal_dot_com__cal.com__qodo-v22__PR10967__20260312	ec45c33d0c9e1e905f1cc47177a65f10aaa75bb4	pr-snapshot	
